filename,emotion,emotion_id,intensity_level,mode,coverage,n_correct_answers,accuracy
A323_sar_v_2,sarcasm,31,2,v,8,1,0.125
A323_sar_v_3,sarcasm,31,3,v,8,4,0.5
A323_sat_p_2,satisfaction_contentment,16,2,p,7,2,0.2857142857142857
A323_sat_p_3,satisfaction_contentment,16,3,p,8,1,0.125
A323_sat_v_2,satisfaction_contentment,16,2,v,7,1,0.14285714285714285
A323_sat_v_3,satisfaction_contentment,16,3,v,7,3,0.42857142857142855
A323_scha_p_2,schadenfreude,15,2,p,7,0,0.0
A323_scha_p_3,schadenfreude,15,3,p,8,2,0.25
A323_scha_v_2,schadenfreude,15,2,v,7,4,0.5714285714285714
A323_scha_v_3,schadenfreude,15,3,v,9,8,0.8888888888888888
A323_sex_p_2,sexual_lust,24,2,p,8,1,0.125
A323_sex_p_3,sexual_lust,24,3,p,8,3,0.375
A323_sex_v_2,sexual_lust,24,2,v,11,6,0.5454545454545454
A323_sex_v_3,sexual_lust,24,3,v,8,5,0.625
A323_sha_p_2,shame,43,2,p,9,1,0.1111111111111111
A323_sha_p_3,shame,43,3,p,7,1,0.14285714285714285
A323_sha_v_2,shame,43,2,v,8,3,0.375
A323_sha_v_3,shame,43,3,v,8,4,0.5
A323_ten_p_2,tenderness,28,2,p,6,3,0.5
A323_ten_p_3,tenderness,28,3,p,6,2,0.3333333333333333
A323_ten_v_2,tenderness,28,2,v,7,1,0.14285714285714285
A323_ten_v_3,tenderness,28,3,v,8,0,0.0
A323_tri_p_2,triumph_achievement,20,2,p,6,1,0.16666666666666666
A323_tri_p_3,triumph_achievement,20,3,p,5,2,0.4
A323_tri_v_2,triumph_achievement,20,2,v,7,1,0.14285714285714285
A323_tri_v_3,triumph_achievement,20,3,v,5,1,0.2
A327_adm_p_2,admiration,5,2,p,6,1,0.16666666666666666
A327_adm_p_3,admiration,5,3,p,9,1,0.1111111111111111
A327_adm_v_2,admiration,5,2,v,6,1,0.16666666666666666
A327_adm_v_3,admiration,5,3,v,4,0,0.0
A327_amu_p_2,amusement,13,2,p,7,5,0.7142857142857143
A327_amu_p_3,amusement,13,3,p,7,4,0.5714285714285714
A327_amu_v_2,amusement,13,2,v,8,4,0.5
A327_amu_v_3,amusement,13,3,v,6,5,0.8333333333333334
A327_ang_p_2,anger,12,2,p,6,1,0.16666666666666666
A327_ang_p_3,anger,12,3,p,6,3,0.5
A327_ang_v_2,anger,12,2,v,8,1,0.125
A327_ang_v_3,anger,12,3,v,7,4,0.5714285714285714
A327_anx_p_2,anxiety,34,2,p,9,5,0.5555555555555556
A327_anx_p_3,anxiety,34,3,p,7,5,0.7142857142857143
A327_anx_v_2,anxiety,34,2,v,9,6,0.6666666666666666
A327_anx_v_3,anxiety,34,3,v,8,5,0.625
A327_awe_p_2,awe,18,2,p,8,2,0.25
A327_awe_p_3,awe,18,3,p,6,1,0.16666666666666666
A327_awe_v_2,awe,18,2,v,6,0,0.0
A327_awe_v_3,awe,18,3,v,8,2,0.25
A327_bor_p_2,boredom,26,2,p,6,1,0.16666666666666666
A327_bor_p_3,boredom,26,3,p,7,0,0.0
A327_bor_v_2,boredom,26,2,v,7,3,0.42857142857142855
A327_bor_v_3,boredom,26,3,v,8,4,0.5
A327_conc_p_2,concentration,27,2,p,9,7,0.7777777777777778
A327_conc_p_3,concentration,27,3,p,6,2,0.3333333333333333
A327_conc_v_2,concentration,27,2,v,8,6,0.75
A327_conc_v_3,concentration,27,3,v,9,7,0.7777777777777778
A327_conf_p_2,confusion,1,2,p,8,5,0.625
A327_conf_p_3,confusion,1,3,p,8,5,0.625
A327_conf_v_2,confusion,1,2,v,6,5,0.8333333333333334
A327_conf_v_3,confusion,1,3,v,5,4,0.8
A327_cont_p_2,contempt,32,2,p,8,2,0.25
A327_cont_p_3,contempt,32,3,p,4,0,0.0
A327_cont_v_2,contempt,32,2,v,9,2,0.2222222222222222
A327_cont_v_3,contempt,32,3,v,7,1,0.14285714285714285
A327_det_p_2,determination,2,2,p,4,1,0.25
A327_det_p_3,determination,2,3,p,5,4,0.8
A327_det_v_2,determination,2,2,v,6,1,0.16666666666666666
A327_det_v_3,determination,2,3,v,3,0,0.0
A327_disa_p_2,disappointment,37,2,p,9,1,0.1111111111111111
A327_disa_p_3,disappointment,37,3,p,8,0,0.0
A327_disa_v_2,disappointment,37,2,v,8,1,0.125
A327_disa_v_3,disappointment,37,3,v,10,5,0.5
A327_disg_p_2,disgust,35,2,p,6,1,0.16666666666666666
A327_disg_p_3,disgust,35,3,p,10,0,0.0
A327_disg_v_2,disgust,35,2,v,10,0,0.0
A327_disg_v_3,disgust,35,3,v,7,1,0.14285714285714285
A327_dist_p_2,distress_pain,17,2,p,5,1,0.2
A327_dist_p_3,distress_pain,17,3,p,7,5,0.7142857142857143
A327_dist_v_2,distress_pain,17,2,v,9,0,0.0
A327_dist_v_3,distress_pain,17,3,v,6,4,0.6666666666666666
A327_dou_p_2,doubt,3,2,p,7,5,0.7142857142857143
A327_dou_p_3,doubt,3,3,p,7,1,0.14285714285714285
A327_dou_v_2,doubt,3,2,v,5,2,0.4
A327_dou_v_3,doubt,3,3,v,6,2,0.3333333333333333
A327_ele_p_2,elevation_rejoicing,8,2,p,7,1,0.14285714285714285
A327_ele_p_3,elevation_rejoicing,8,3,p,7,4,0.5714285714285714
A327_ele_v_2,elevation_rejoicing,8,2,v,9,1,0.1111111111111111
A327_ele_v_3,elevation_rejoicing,8,3,v,7,0,0.0
A327_emb_p_2,embarrassment,39,2,p,8,1,0.125
A327_emb_p_3,embarrassment,39,3,p,8,1,0.125
A327_emb_v_2,embarrassment,39,2,v,9,3,0.3333333333333333
A327_emb_v_3,embarrassment,39,3,v,10,2,0.2
A327_env_p_2,envy,4,2,p,10,0,0.0
A327_env_p_3,envy,4,3,p,10,1,0.1
A327_env_v_2,envy,4,2,v,9,2,0.2222222222222222
A327_env_v_3,envy,4,3,v,10,2,0.2
A327_exc_p_2,excitement_expectation,36,2,p,6,3,0.5
A327_exc_p_3,excitement_expectation,36,3,p,6,3,0.5
A327_exc_v_2,excitement_expectation,36,2,v,6,2,0.3333333333333333
A327_exc_v_3,excitement_expectation,36,3,v,9,7,0.7777777777777778
A327_fea_p_2,fear,10,2,p,8,1,0.125
A327_fea_p_3,fear,10,3,p,8,4,0.5
A327_fea_v_2,fear,10,2,v,7,0,0.0
A327_fea_v_3,fear,10,3,v,6,4,0.6666666666666666
A327_gra_p_2,gratitude,7,2,p,6,0,0.0
A327_gra_p_3,gratitude,7,3,p,8,3,0.375
A327_gra_v_2,gratitude,7,2,v,9,3,0.3333333333333333
A327_gra_v_3,gratitude,7,3,v,6,1,0.16666666666666666
A327_gui_p_2,guilt,40,2,p,6,0,0.0
A327_gui_p_3,guilt,40,3,p,6,1,0.16666666666666666
A327_gui_v_2,guilt,40,2,v,6,1,0.16666666666666666
A327_gui_v_3,guilt,40,3,v,7,2,0.2857142857142857
A327_hap_p_2,happiness_joy,33,2,p,5,3,0.6
A327_hap_p_3,happiness_joy,33,3,p,5,0,0.0
A327_hap_v_2,happiness_joy,33,2,v,5,1,0.2
A327_hap_v_3,happiness_joy,33,3,v,6,4,0.6666666666666666
A327_hop_p_2,hope,21,2,p,6,4,0.6666666666666666
A327_hop_p_3,hope,21,3,p,7,2,0.2857142857142857
A327_hop_v_2,hope,21,2,v,7,1,0.14285714285714285
A327_hop_v_3,hope,21,3,v,9,0,0.0
A327_ins_p_2,inspiration,19,2,p,7,1,0.14285714285714285
A327_ins_p_3,inspiration,19,3,p,8,1,0.125
A327_ins_v_2,inspiration,19,2,v,9,0,0.0
A327_ins_v_3,inspiration,19,3,v,7,2,0.2857142857142857
A327_int_p_2,interest_curiosity,29,2,p,7,3,0.42857142857142855
A327_int_p_3,interest_curiosity,29,3,p,8,5,0.625
A327_int_v_2,interest_curiosity,29,2,v,8,2,0.25
A327_int_v_3,interest_curiosity,29,3,v,7,4,0.5714285714285714
A327_mov_p_2,being_moved,42,2,p,9,5,0.5555555555555556
A327_mov_p_3,being_moved,42,3,p,6,0,0.0
A327_mov_v_2,being_moved,42,2,v,8,1,0.125
A327_mov_v_3,being_moved,42,3,v,7,2,0.2857142857142857
A327_neg_sur_p_2,negative_surprise,11,2,p,8,0,0.0
A327_neg_sur_p_3,negative_surprise,11,3,p,6,4,0.6666666666666666
A327_neg_sur_v_2,negative_surprise,11,2,v,8,4,0.5
A327_neg_sur_v_3,negative_surprise,11,3,v,8,3,0.375
A327_neu_sit1_p,neutral,22,1,p,7,3,0.42857142857142855
A327_neu_sit1_v,neutral,22,1,v,4,2,0.5
A327_neu_sit2_p,neutral,22,1,p,8,6,0.75
A327_neu_sit2_v,neutral,22,1,v,10,2,0.2
A327_neu_sit3_p,neutral,22,1,p,7,2,0.2857142857142857
A327_neu_sit3_v,neutral,22,1,v,4,2,0.5
A327_neu_sit4_p,neutral,22,1,p,9,8,0.8888888888888888
A327_neu_sit4_v,neutral,22,1,v,5,2,0.4
A327_nos_p_2,nostalgia,30,2,p,15,11,0.7333333333333333
A327_nos_p_3,nostalgia,30,3,p,13,6,0.46153846153846156
A327_nos_v_2,nostalgia,30,2,v,9,2,0.2222222222222222
A327_nos_v_3,nostalgia,30,3,v,12,10,0.8333333333333334
A327_pea_p_2,peacefulness_serenity,25,2,p,7,0,0.0
A327_pea_p_3,peacefulness_serenity,25,3,p,11,6,0.5454545454545454
A327_pea_v_2,peacefulness_serenity,25,2,v,7,3,0.42857142857142855
A327_pea_v_3,peacefulness_serenity,25,3,v,8,5,0.625
A327_ple_p_2,sensory_pleasure,23,2,p,7,1,0.14285714285714285
A327_ple_p_3,sensory_pleasure,23,3,p,8,3,0.375
A327_ple_v_2,sensory_pleasure,23,2,v,8,3,0.375
A327_ple_v_3,sensory_pleasure,23,3,v,7,2,0.2857142857142857
A327_pos_sur_p_2,positive_surprise,9,2,p,10,1,0.1
A327_pos_sur_p_3,positive_surprise,9,3,p,6,1,0.16666666666666666
A327_pos_sur_v_2,positive_surprise,9,2,v,6,2,0.3333333333333333
A327_pos_sur_v_3,positive_surprise,9,3,v,7,3,0.42857142857142855
A327_pri_p_2,pride,41,2,p,9,2,0.2222222222222222
A327_pri_p_3,pride,41,3,p,10,7,0.7
A327_pri_v_2,pride,41,2,v,6,1,0.16666666666666666
A327_pri_v_3,pride,41,3,v,6,2,0.3333333333333333
A327_reg_p_2,regret,0,2,p,8,3,0.375
A327_reg_p_3,regret,0,3,p,8,2,0.25
A327_reg_v_2,regret,0,2,v,9,3,0.3333333333333333
A327_reg_v_3,regret,0,3,v,7,1,0.14285714285714285
A327_rej_p_2,rejection,14,2,p,7,2,0.2857142857142857
A327_rej_p_3,rejection,14,3,p,8,3,0.375
A327_rej_v_2,rejection,14,2,v,8,2,0.25
A327_rej_v_3,rejection,14,3,v,9,3,0.3333333333333333
A327_rel_p_2,relief,38,2,p,6,3,0.5
A327_rel_p_3,relief,38,3,p,5,0,0.0
A327_rel_v_2,relief,38,2,v,7,5,0.7142857142857143
A327_rel_v_3,relief,38,3,v,5,4,0.8
A327_sar_p_2,sarcasm,31,2,p,8,2,0.25
A327_sar_p_3,sarcasm,31,3,p,9,2,0.2222222222222222
A327_sar_v_2,sarcasm,31,2,v,8,3,0.375
A327_sar_v_3,sarcasm,31,3,v,7,5,0.7142857142857143
A327_sat_p_2,satisfaction_contentment,16,2,p,9,4,0.4444444444444444
A327_sat_p_3,satisfaction_contentment,16,3,p,7,3,0.42857142857142855
A327_sat_v_2,satisfaction_contentment,16,2,v,7,3,0.42857142857142855
A327_sat_v_3,satisfaction_contentment,16,3,v,9,3,0.3333333333333333
A327_scha_p_2,schadenfreude,15,2,p,6,1,0.16666666666666666
A327_scha_p_3,schadenfreude,15,3,p,7,1,0.14285714285714285
A327_scha_v_2,schadenfreude,15,2,v,8,1,0.125
A327_scha_v_3,schadenfreude,15,3,v,6,5,0.8333333333333334
A327_sex_p_2,sexual_lust,24,2,p,8,4,0.5
A327_sex_p_3,sexual_lust,24,3,p,9,0,0.0
A327_sex_v_2,sexual_lust,24,2,v,8,5,0.625
A327_sex_v_3,sexual_lust,24,3,v,8,3,0.375
A327_sha_p_2,shame,43,2,p,9,1,0.1111111111111111
A327_sha_p_3,shame,43,3,p,8,1,0.125
A327_sha_v_2,shame,43,2,v,9,3,0.3333333333333333
A327_sha_v_3,shame,43,3,v,8,2,0.25
A327_ten_p_2,tenderness,28,2,p,6,0,0.0
A327_ten_p_3,tenderness,28,3,p,7,1,0.14285714285714285
A327_ten_v_2,tenderness,28,2,v,4,0,0.0
A327_ten_v_3,tenderness,28,3,v,6,1,0.16666666666666666
A327_tri_p_2,triumph_achievement,20,2,p,6,0,0.0
A327_tri_p_3,triumph_achievement,20,3,p,9,3,0.3333333333333333
A327_tri_v_2,triumph_achievement,20,2,v,7,1,0.14285714285714285
A327_tri_v_3,triumph_achievement,20,3,v,10,0,0.0
A332_adm_p_2,admiration,5,2,p,6,0,0.0
A332_adm_p_3,admiration,5,3,p,9,3,0.3333333333333333
A332_adm_v_2,admiration,5,2,v,5,0,0.0
A332_adm_v_3,admiration,5,3,v,5,2,0.4
A332_amu_p_2,amusement,13,2,p,7,1,0.14285714285714285
A332_amu_p_3,amusement,13,3,p,9,5,0.5555555555555556
A332_amu_v_2,amusement,13,2,v,6,3,0.5
A332_amu_v_3,amusement,13,3,v,7,3,0.42857142857142855
A332_ang_p_2,anger,12,2,p,7,6,0.8571428571428571
A332_ang_p_3,anger,12,3,p,8,8,1.0
A332_ang_v_2,anger,12,2,v,5,1,0.2
A332_ang_v_3,anger,12,3,v,8,6,0.75
A332_anx_p_2,anxiety,34,2,p,8,1,0.125
A332_anx_p_3,anxiety,34,3,p,8,3,0.375
A332_anx_v_2,anxiety,34,2,v,9,0,0.0
A332_anx_v_3,anxiety,34,3,v,9,1,0.1111111111111111
A332_awe_p_2,awe,18,2,p,8,3,0.375
A332_awe_p_3,awe,18,3,p,8,6,0.75
A332_awe_v_2,awe,18,2,v,7,3,0.42857142857142855
A332_awe_v_3,awe,18,3,v,8,1,0.125
A332_bor_p_2,boredom,26,2,p,6,2,0.3333333333333333
A332_bor_p_3,boredom,26,3,p,10,2,0.2
A332_bor_v_2,boredom,26,2,v,6,5,0.8333333333333334
A332_bor_v_3,boredom,26,3,v,8,3,0.375
A332_conc_p_2,concentration,27,2,p,10,7,0.7
A332_conc_p_3,concentration,27,3,p,9,8,0.8888888888888888
A332_conc_v_2,concentration,27,2,v,10,8,0.8
A332_conc_v_3,concentration,27,3,v,8,5,0.625
A332_conf_p_2,confusion,1,2,p,6,4,0.6666666666666666
A332_conf_p_3,confusion,1,3,p,5,4,0.8
A332_conf_v_3,confusion,1,3,v,4,1,0.25
A332_cont_p_2,contempt,32,2,p,7,2,0.2857142857142857
A332_cont_p_3,contempt,32,3,p,6,2,0.3333333333333333
A332_cont_v_2,contempt,32,2,v,10,1,0.1
A332_cont_v_3,contempt,32,3,v,8,1,0.125
A332_det_p_2,determination,2,2,p,7,4,0.5714285714285714
A332_det_p_3,determination,2,3,p,7,2,0.2857142857142857
A332_det_v_2,determination,2,2,v,9,5,0.5555555555555556
A332_det_v_3,determination,2,3,v,6,1,0.16666666666666666
A332_disa_p_2,disappointment,37,2,p,7,4,0.5714285714285714
A332_disa_p_3,disappointment,37,3,p,8,3,0.375
A332_disa_v_2,disappointment,37,2,v,9,7,0.7777777777777778
A332_disa_v_3,disappointment,37,3,v,8,5,0.625
A332_disg_p_2,disgust,35,2,p,8,5,0.625
A332_disg_v_2,disgust,35,2,v,8,7,0.875
A332_disg_v_3,disgust,35,3,v,7,6,0.8571428571428571
A332_dist_p_2,distress_pain,17,2,p,9,1,0.1111111111111111
A332_dist_p_3,distress_pain,17,3,p,7,1,0.14285714285714285
A332_dist_v_2,distress_pain,17,2,v,11,0,0.0
A332_dou_p_2,doubt,3,2,p,7,0,0.0
A332_dou_p_3,doubt,3,3,p,6,3,0.5
A332_dou_v_2,doubt,3,2,v,9,3,0.3333333333333333
A332_dou_v_3,doubt,3,3,v,4,1,0.25
A332_ele_p_2,elevation_rejoicing,8,2,p,9,1,0.1111111111111111
A332_ele_p_3,elevation_rejoicing,8,3,p,8,1,0.125
A332_ele_v_2,elevation_rejoicing,8,2,v,7,2,0.2857142857142857
A332_ele_v_3,elevation_rejoicing,8,3,v,8,0,0.0
A332_emb_p_2,embarrassment,39,2,p,9,1,0.1111111111111111
A332_emb_p_3,embarrassment,39,3,p,10,2,0.2
A332_emb_v_2,embarrassment,39,2,v,8,0,0.0
A332_emb_v_3,embarrassment,39,3,v,9,3,0.3333333333333333
A332_env_p_2,envy,4,2,p,9,0,0.0
A332_env_p_3,envy,4,3,p,8,3,0.375
A332_env_v_2,envy,4,2,v,8,1,0.125
A332_env_v_3,envy,4,3,v,7,0,0.0
A332_exc_p_2,excitement_expectation,36,2,p,4,0,0.0
A332_exc_p_3,excitement_expectation,36,3,p,6,4,0.6666666666666666
A332_exc_v_2,excitement_expectation,36,2,v,7,3,0.42857142857142855
A332_exc_v_3,excitement_expectation,36,3,v,10,8,0.8
A332_fea_p_2,fear,10,2,p,8,0,0.0
A332_fea_p_3,fear,10,3,p,11,8,0.7272727272727273
A332_fea_v_2,fear,10,2,v,9,4,0.4444444444444444
A332_fea_v_3,fear,10,3,v,11,10,0.9090909090909091
A332_gra_p_2,gratitude,7,2,p,7,2,0.2857142857142857
A332_gra_p_3,gratitude,7,3,p,9,5,0.5555555555555556
A332_gra_v_2,gratitude,7,2,v,7,0,0.0
A332_gra_v_3,gratitude,7,3,v,8,2,0.25
A332_gui_p_2,guilt,40,2,p,8,1,0.125
A332_gui_p_3,guilt,40,3,p,8,2,0.25
A332_gui_v_2,guilt,40,2,v,9,1,0.1111111111111111
A332_gui_v_3,guilt,40,3,v,6,1,0.16666666666666666
A332_hap_p_2,happiness_joy,33,2,p,6,1,0.16666666666666666
A332_hap_p_3,happiness_joy,33,3,p,8,2,0.25
A332_hap_v_2,happiness_joy,33,2,v,8,3,0.375
A332_hap_v_3,happiness_joy,33,3,v,10,4,0.4
A332_hop_p_2,hope,21,2,p,11,0,0.0
A332_hop_p_3,hope,21,3,p,9,4,0.4444444444444444
A332_ins_p_2,inspiration,19,2,p,9,4,0.4444444444444444
A332_ins_p_3,inspiration,19,3,p,7,1,0.14285714285714285
A332_ins_v_2,inspiration,19,2,v,8,0,0.0
A332_ins_v_3,inspiration,19,3,v,8,1,0.125
A332_int_p_2,interest_curiosity,29,2,p,6,2,0.3333333333333333
A332_int_p_3,interest_curiosity,29,3,p,6,0,0.0
A332_int_v_2,interest_curiosity,29,2,v,10,3,0.3
A332_int_v_3,interest_curiosity,29,3,v,11,5,0.45454545454545453
A332_mov_p_2,being_moved,42,2,p,6,1,0.16666666666666666
A332_mov_p_3,being_moved,42,3,p,7,0,0.0
A332_mov_v_2,being_moved,42,2,v,7,0,0.0
A332_mov_v_3,being_moved,42,3,v,8,1,0.125
A332_neg_sur_p_2,negative_surprise,11,2,p,8,3,0.375
A332_neg_sur_p_3,negative_surprise,11,3,p,7,3,0.42857142857142855
A332_neg_sur_v_2_e,negative_surprise,11,2,v,7,6,0.8571428571428571
A332_neg_sur_v_3,negative_surprise,11,3,v,7,6,0.8571428571428571
A332_neu_sit1_p,neutral,22,1,p,9,3,0.3333333333333333
A332_neu_sit1_v,neutral,22,1,v,6,1,0.16666666666666666
A332_neu_sit2_p,neutral,22,1,p,6,3,0.5
A332_neu_sit2_v,neutral,22,1,v,6,1,0.16666666666666666
A332_neu_sit3_p,neutral,22,1,p,4,1,0.25
A332_neu_sit3_v,neutral,22,1,v,3,0,0.0
A332_neu_sit4_p,neutral,22,1,p,6,3,0.5
A332_neu_sit4_v,neutral,22,1,v,4,3,0.75
A332_nos_p_2,nostalgia,30,2,p,10,7,0.7
A332_nos_p_3,nostalgia,30,3,p,6,5,0.8333333333333334
A332_nos_v_2,nostalgia,30,2,v,8,2,0.25
A332_nos_v_3,nostalgia,30,3,v,8,1,0.125
A332_pea_p_2,peacefulness_serenity,25,2,p,6,0,0.0
A332_pea_p_3,peacefulness_serenity,25,3,p,5,3,0.6
A332_pea_v_2,peacefulness_serenity,25,2,v,7,6,0.8571428571428571
A332_pea_v_3,peacefulness_serenity,25,3,v,8,0,0.0
A332_ple_p_2,sensory_pleasure,23,2,p,7,0,0.0
A332_ple_p_3,sensory_pleasure,23,3,p,9,1,0.1111111111111111
A332_ple_v_2,sensory_pleasure,23,2,v,9,1,0.1111111111111111
A332_ple_v_3,sensory_pleasure,23,3,v,9,2,0.2222222222222222
A332_pos_sur_p_2,positive_surprise,9,2,p,7,5,0.7142857142857143
A332_pos_sur_p_3,positive_surprise,9,3,p,6,3,0.5
A332_pos_sur_v_2,positive_surprise,9,2,v,7,7,1.0
A332_pos_sur_v_3,positive_surprise,9,3,v,8,3,0.375
A332_pri_p_2,pride,41,2,p,7,3,0.42857142857142855
A332_pri_p_3,pride,41,3,p,11,5,0.45454545454545453
A332_pri_v_2,pride,41,2,v,6,0,0.0
A332_pri_v_3,pride,41,3,v,6,1,0.16666666666666666
A332_reg_p_2,regret,0,2,p,6,2,0.3333333333333333
A332_reg_p_3,regret,0,3,p,9,2,0.2222222222222222
A332_reg_v_2,regret,0,2,v,8,2,0.25
A332_reg_v_3,regret,0,3,v,9,0,0.0
A332_rej_p_2,rejection,14,2,p,9,1,0.1111111111111111
A332_rej_p_3,rejection,14,3,p,8,1,0.125
A332_rej_v_2,rejection,14,2,v,8,0,0.0
A332_rej_v_3,rejection,14,3,v,8,2,0.25
A332_rel_p_2,relief,38,2,p,5,3,0.6
A332_rel_p_3,relief,38,3,p,6,1,0.16666666666666666
A332_rel_v_2,relief,38,2,v,6,0,0.0
A332_rel_v_3,relief,38,3,v,5,5,1.0
A332_sad_p_2,sadness,6,2,p,9,1,0.1111111111111111
A332_sad_p_3,sadness,6,3,p,8,2,0.25
A332_sad_v_2,sadness,6,2,v,9,2,0.2222222222222222
A332_sad_v_3,sadness,6,3,v,7,2,0.2857142857142857
A332_sar_p_2,sarcasm,31,2,p,9,4,0.4444444444444444
A332_sar_p_3,sarcasm,31,3,p,9,5,0.5555555555555556
A332_sar_v_2,sarcasm,31,2,v,8,1,0.125
A332_sar_v_3,sarcasm,31,3,v,8,4,0.5
A332_sat_p_2,satisfaction_contentment,16,2,p,8,3,0.375
A332_sat_p_3,satisfaction_contentment,16,3,p,9,4,0.4444444444444444
A332_sat_v_2,satisfaction_contentment,16,2,v,8,1,0.125
A332_sat_v_3,satisfaction_contentment,16,3,v,10,3,0.3
A332_scha_p_2,schadenfreude,15,2,p,5,3,0.6
A332_scha_p_3,schadenfreude,15,3,p,6,4,0.6666666666666666
A332_scha_v_2,schadenfreude,15,2,v,6,6,1.0
A332_scha_v_3,schadenfreude,15,3,v,8,7,0.875
A332_sha_p_2,shame,43,2,p,9,1,0.1111111111111111
A332_sha_p_3,shame,43,3,p,8,1,0.125
A332_sha_v_2,shame,43,2,v,9,3,0.3333333333333333
A332_ten_p_2,tenderness,28,2,p,8,3,0.375
A332_ten_p_3,tenderness,28,3,p,9,4,0.4444444444444444
A332_ten_v_2,tenderness,28,2,v,3,1,0.3333333333333333
A332_ten_v_3,tenderness,28,3,v,6,3,0.5
A332_tri_p_2,triumph_achievement,20,2,p,7,0,0.0
A332_tri_p_3,triumph_achievement,20,3,p,6,1,0.16666666666666666
A332_tri_v_2,triumph_achievement,20,2,v,7,1,0.14285714285714285
A332_tri_v_3,triumph_achievement,20,3,v,7,0,0.0
A334_adm_p_2,admiration,5,2,p,5,1,0.2
A334_adm_p_3,admiration,5,3,p,7,2,0.2857142857142857
A334_adm_v_2,admiration,5,2,v,7,0,0.0
A334_adm_v_3,admiration,5,3,v,9,2,0.2222222222222222
A334_amu_p_2,amusement,13,2,p,6,0,0.0
A334_amu_p_3,amusement,13,3,p,8,3,0.375
A334_amu_v_2,amusement,13,2,v,11,8,0.7272727272727273
A334_amu_v_3,amusement,13,3,v,9,3,0.3333333333333333
A334_ang_p_2,anger,12,2,p,6,6,1.0
A334_ang_p_3,anger,12,3,p,5,3,0.6
A334_ang_v_2,anger,12,2,v,5,3,0.6
A334_ang_v_3,anger,12,3,v,6,5,0.8333333333333334
A334_anx_p_2,anxiety,34,2,p,8,2,0.25
A334_anx_p_3,anxiety,34,3,p,7,0,0.0
A334_anx_v_2,anxiety,34,2,v,8,2,0.25
A334_anx_v_3,anxiety,34,3,v,7,1,0.14285714285714285
A334_awe_p_2,awe,18,2,p,7,1,0.14285714285714285
A334_awe_p_3,awe,18,3,p,9,1,0.1111111111111111
A334_awe_v_2,awe,18,2,v,7,1,0.14285714285714285
A334_awe_v_3,awe,18,3,v,8,1,0.125
A334_bor_p_2,boredom,26,2,p,9,7,0.7777777777777778
A334_bor_p_3,boredom,26,3,p,5,5,1.0
A334_bor_v_2,boredom,26,2,v,5,3,0.6
A334_bor_v_3,boredom,26,3,v,7,1,0.14285714285714285
A334_conc_p_2,concentration,27,2,p,6,3,0.5
A334_conc_p_3,concentration,27,3,p,8,3,0.375
A334_conc_v_2,concentration,27,2,v,9,2,0.2222222222222222
A334_conc_v_3,concentration,27,3,v,8,5,0.625
A334_conf_p_2,confusion,1,2,p,7,4,0.5714285714285714
A334_conf_p_3,confusion,1,3,p,6,3,0.5
A334_conf_v_2,confusion,1,2,v,7,0,0.0
A334_conf_v_3,confusion,1,3,v,8,4,0.5
A334_cont_p_2,contempt,32,2,p,7,3,0.42857142857142855
A334_cont_p_3,contempt,32,3,p,5,5,1.0
A334_cont_v_2,contempt,32,2,v,10,8,0.8
A334_cont_v_3,contempt,32,3,v,10,9,0.9
A334_det_p_2,determination,2,2,p,5,4,0.8
A334_det_p_3,determination,2,3,p,6,6,1.0
A334_det_v_2,determination,2,2,v,6,1,0.16666666666666666
A334_det_v_3,determination,2,3,v,7,0,0.0
A334_disa_p_2,disappointment,37,2,p,8,0,0.0
A334_disa_p_3,disappointment,37,3,p,7,0,0.0
A334_disa_v_2,disappointment,37,2,v,8,3,0.375
A334_disa_v_3,disappointment,37,3,v,7,2,0.2857142857142857
A334_disg_p_2,disgust,35,2,p,10,1,0.1
A334_disg_p_3,disgust,35,3,p,8,1,0.125
A334_disg_v_2,disgust,35,2,v,7,7,1.0
A334_disg_v_3,disgust,35,3,v,10,8,0.8
A334_dist_p_2,distress_pain,17,2,p,5,0,0.0
A334_dist_p_3,distress_pain,17,3,p,9,3,0.3333333333333333
A334_dist_v_2,distress_pain,17,2,v,7,0,0.0
A334_dist_v_3,distress_pain,17,3,v,8,3,0.375
A334_dou_p_2,doubt,3,2,p,6,0,0.0
A334_dou_p_3,doubt,3,3,p,6,0,0.0
A334_dou_v_2,doubt,3,2,v,7,1,0.14285714285714285
A334_dou_v_3,doubt,3,3,v,10,8,0.8
A334_ele_p_2,elevation_rejoicing,8,2,p,4,1,0.25
A334_ele_p_3,elevation_rejoicing,8,3,p,8,0,0.0
A334_ele_v_2,elevation_rejoicing,8,2,v,4,0,0.0
A334_ele_v_3,elevation_rejoicing,8,3,v,9,0,0.0
A334_emb_p_2,embarrassment,39,2,p,6,0,0.0
A334_emb_p_3,embarrassment,39,3,p,7,1,0.14285714285714285
A334_emb_v_2,embarrassment,39,2,v,7,0,0.0
A334_emb_v_3,embarrassment,39,3,v,9,1,0.1111111111111111
A334_env_p_2,envy,4,2,p,9,0,0.0
A334_env_p_3,envy,4,3,p,9,0,0.0
A334_env_v_2,envy,4,2,v,7,1,0.14285714285714285
A334_env_v_3,envy,4,3,v,10,1,0.1
A334_exc_p_2,excitement_expectation,36,2,p,8,5,0.625
A334_exc_p_3,excitement_expectation,36,3,p,5,1,0.2
